U+555F|qǐ(60)
U+5561|fēi(9)
U+5564|pí(12)
U+5565|shà(109)
U+5566|la(967) lā(15)
U+556A|pā(49)
U+5578|xiào(21)
U+557C|tí(12)
U+557E|jiū(32)
U+5582|wèi(151)
U+5583|nán(26)
U+5584|shàn(206)
U+5587|lǎ(25)
U+5589|hóu(51)
U+558A|hǎn(464)
U+5594|ō(103)
U+5598|chuǎn(76)
U+559A|huàn(57) huan(35)
U+559C|xǐ(459)
U+559D|hē(340) he(37) hè(19)
U+55AA|sàng(22)
U+55AE|dān(603)
U+55B2|yō(64) yo(32)
U+55B7|pēn(111)
U+55BD|lou(46)
U+55C5|xiù(14)
U+55CE|ma(1456) má(93)
U+55D0|hài(14)
U+55D3|sǎng(63)
U+55DA|wū(11)
U+55E1|wēng(56)
U+55E6|suo(30)
U+55E8|hāi(31)
U+55EC|hē(13)
U+55EF|ń(48) ň(48) ǹ(48) ńg(48) ňg(48) ǹg(48)
U+55FD|sou(39)
U+5600|dí(14)
U+5606|tàn(153)
U+5608|cáo(13)
U+560D|lou(46)
U+5617|cháng(38)
U+5618|xū(10)
U+561B|ma(246) má(93)
U+5629|huā(54)
U+562F|xiào(21)
U+5631|zhǔ(35)
U+5632|cháo(28)
U+5634|zuǐ(610)
U+5636|sī(14)
U+563B|xī(42)
U+563F|hēi(76)
U+5653|xū(10)
U+5662|ō(103)
U+5668|qì(771)
U+566A|zào(15)
U+5674|pēn(111)
U+5678|dūn(157)
U+5680|níng(11)
U+5687|xià(135)
U+56A8|lóng(26)
U+56B4|yán(633)
U+56B7|rǎng(88)
U+56BC|jué(15)
U+56D1|zhǔ(35)
U+56DB|sì(2101)
U+56DE|huí(2949)
U+56E0|yīn(1919)
U+56E2|tuán(887)
U+56EA|cōng(28)
U+56ED|yuán(258)
U+56F0|kùn(386)
U+56F1|cōng(28)
U+56F4|wéi(654)
U+56FA|gù(326)
U+56FD|guó(6416)
U+56FE|tú(491)
U+5706|yuán(197)
U+5708|quān(169) juàn(12)
U+570B|guó(6416)
U+570D|wéi(654)
U+5712|yuán(258)
U+5713|yuán(197)
U+5716|tú(491)
U+5718|tuán(887)
U+571F|tǔ(858)
U+5723|shèng(28)
U+5728|zài(19364)
U+5730|de(7394) dì(4976)
U+573A|chǎng(773) cháng(141)
U+573E|jī(38)
U+5740|zhǐ(24)
U+5747|jūn(204)
U+574A|fang(11)
U+574E|kǎn(10)
U+574F|huài(615)
U+5750|zuò(1018)
U+5751|kēng(90)
U+5757|kuài(929)
U+575A|jiān(695)
U+575D|bà(24)
U+575F|fén(46)
U+5760|zhuì(13)
U+5761|pō(103)
U+5766|tǎn(77)
U+576F|pī(24)
U+5782|chuí(88)
U+5783|lā(38)
U+5784|lǒng(28)
